10/06/2024 21:07:13 PM Test:  $11.23$1.00
10/06/2024 21:07:42 PM Test2:  $11.23 $1.00
10/06/2024 22:53:04 PM Test2:  $11.23 $1.00
10/06/2024 22:14:25 PM Test2:  $11.23 $1.00
10/06/2024 22:16:22 PM Test2:  $11.23 $1.00
10/06/2024 22:16:56 PM Test2:  $11.23 $1.00
10/06/2024 22:17:24 PM Test2:  $11.23 $1.00
10/06/2024 22:17:49 PM Test2:  $11.23 $1.00
10/06/2024 22:24:49 PM Test2:  $11.23 $1.00
10/06/2024 22:30:32 PM Test2:  $11.23 $1.00
10/06/2024 22:38:50 PM Test2:  $11.23 $1.00
10/06/2024 22:38:57 PM Test2:  $11.23 $1.00
10/06/2024 22:39:43 PM Test2:  $11.23 $1.00
10/06/2024 22:40:22 PM Test2:  $11.23 $1.00
10/06/2024 22:54:06 PM Test2:  $11.23 $1.00
11/06/2024 16:15:26 PM Test2:             $11.23 $1.00
11/06/2024 16:21:24 PM Test2:             $11.23 $1.00
11/06/2024 16:21:37 PM Test2:             $11.23 $1.00
11/06/2024 16:23:51 PM            Test2:  $11.23 $1.00
11/06/2024 16:44:54 PM Test2:             $11.23 $1.00
11/06/2024 16:47:11 PM Test2:             $11.23 $1.00
11/06/2024 16:48:23 PM Test2:             $11.23 $1.00
11/06/2024 16:48:45 PM Test2:             $11.23 $1.00
11/06/2024 16:49:22 PM Test2:             $11.23 $1.00
11/06/2024 16:50:35 PM Test2:             $11.23 $1.00
11/06/2024 16:51:09 PM Test2:             $11.23 $1.00
11/06/2024 16:51:39 PM Test2:             $11.23 $1.00
11/06/2024 16:52:03 PM Test2:             $11.23 $1.00
11/06/2024 16:52:21 PM Test2:             $11.23 $1.00
11/06/2024 16:52:48 PM Test2:             $11.23 $1.00
11/06/2024 16:53:01 PM Test2:             $11.23 $1.00
11/06/2024 16:53:06 PM Test2:             $11.23 $1.00
11/06/2024 16:53:16 PM Test2:             $11.23 $1.00
11/06/2024 16:53:24 PM Test2:             $11.23 $1.00
11/06/2024 16:53:43 PM Test2:             $11.23 $1.00
11/06/2024 16:54:46 PM Test2:             $11.23 $1.00
11/06/2024 16:55:40 PM Test2:             $11.23 $1.00
11/06/2024 16:56:06 PM Test2:             $11.23 $1.00
11/06/2024 16:56:56 PM Test2:             $11.23 $1.00
11/06/2024 16:58:34 PM Test2:             $11.23 $1.00
11/06/2024 18:42:49 PM FEED MONEY:        $10.00 $10.00
11/06/2024 18:43:01 PM Potato Crisps A1   $10.00 $6.95
11/06/2024 18:43:15 PM Potato Crisps A1   $6.95 $3.90
11/06/2024 18:43:21 PM Potato Crisps A1   $3.90 $0.85
11/06/2024 18:43:38 PM FEED MONEY:        $10.00 $10.85
11/06/2024 18:43:44 PM Potato Crisps A1   $10.85 $7.80
11/06/2024 18:43:50 PM Potato Crisps A1   $7.80 $4.75
11/06/2024 18:43:58 PM Potato Crisps A1   $4.75 $1.70
11/06/2024 18:44:47 PM GIVE CHANGE:       $1.70 $0.00
11/06/2024 18:49:43 PM FEED MONEY:        $10.00 $10.00
11/06/2024 18:49:46 PM GIVE CHANGE:       $10.00 $0.00
11/06/2024 18:50:48 PM FEED MONEY:        $10.00 $10.00
11/06/2024 18:50:50 PM GIVE CHANGE:       $10.00 $0.00
11/06/2024 18:52:00 PM FEED MONEY:        $10.00 $10.00
11/06/2024 18:52:06 PM GIVE CHANGE:       $10.00 $0.00
11/06/2024 18:52:25 PM FEED MONEY:        $10.00 $10.00
11/06/2024 18:52:35 PM GIVE CHANGE:       $10.00 $0.00
11/06/2024 18:54:29 PM FEED MONEY:        $100.00 $100.00
11/06/2024 18:54:32 PM GIVE CHANGE:       $100.00 $0.00
11/06/2024 18:55:49 PM FEED MONEY:        $3.00 $3.00
11/06/2024 18:55:55 PM Grain Waves A3     $3.00 $0.25
11/06/2024 18:56:04 PM GIVE CHANGE:       $0.25 $0.00
11/06/2024 18:56:14 PM FEED MONEY:        $5.00 $5.00
11/06/2024 18:56:25 PM U-Chews D1         $5.00 $4.15
11/06/2024 18:56:28 PM GIVE CHANGE:       $4.15 $0.00
12/06/2024 18:46:02 PM FEED MONEY:        $10.00 $10.00
12/06/2024 18:46:06 PM Potato Crisps A1   $10.00 $6.95
12/06/2024 18:46:15 PM GIVE CHANGE:       $6.95 $0.00
12/06/2024 20:41:40 PM FEED MONEY:        $10.00 $10.00
12/06/2024 21:04:23 PM Potato Crisps A1   $10.00 $6.95
12/06/2024 21:04:27 PM GIVE CHANGE:       $6.95 $0.00
12/06/2024 21:25:54 PM FEED MONEY:        $5.00 $5.00
12/06/2024 21:26:18 PM Dr. Salt C2        $5.00 $3.50
12/06/2024 21:26:27 PM GIVE CHANGE:       $3.50 $0.00
13/06/2024 16:10:06 PM FEED MONEY:        $10.00 $10.00
13/06/2024 16:10:10 PM Potato Crisps A1   $10.00 $6.95
13/06/2024 16:18:53 PM FEED MONEY:        $10.00 $10.00
13/06/2024 16:18:58 PM Potato Crisps A1   $10.00 $6.95
13/06/2024 16:20:13 PM FEED MONEY:        $10.00 $10.00
13/06/2024 16:20:28 PM Chiclets D3        $10.00 $9.25
